11:39:55 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:41:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:43:08 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:46:58 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:48:28 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:55:23 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:56:53 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:02:38 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:04:14 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:04:49 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:06:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:08:07 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:09:44 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:13:14 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:14:43 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:16:13 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:17:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:24:18 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:25:48 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:27:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:28:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:30:31 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:32:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:33:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:35:20 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:36:35 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:38:13 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:39:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:47:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:48:59 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:50:29 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:52:04 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:53:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:55:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:56:45 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
12:57:08 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
19:16:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
20:49:44 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
20:50:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
20:50:40 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
20:54:52 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
21:23:13 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
23:05:54 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
23:25:00 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
23:26:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
23:50:22 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
23:51:26 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
